Year;RSCI;RSCI_TransposedTo60;RSCIRegion;Player;Draft;Drafted;PreDraftExperience;PickNumber;PickType;College;Team;StartYearNBA;EndYearNBA;YearsInTheLeague;WS;WSPerYear;PlayerLevel;DummyExpectedLevelPosition;OverUnderDraftedRating;RankDifferencesRSCIPick60Scale;RankAdjustementAbsolute
1999;63;37,8;3;Curtis Borchardt ;2002;1;3;18;3;Stanford University;ORL;2004;2005;2;1;,5;1;2;-1;19,8;19,8
2000;6;3,6;0;DeShawn Stevenson;2000;1;0;23;3; ;UTA;2001;2013;13;12,1;,930769230769231;1;2;-1;-19,4;19,4
2001;14;8,4;0;David Harrison ;2004;1;3;29;3;University of Colorado;IND;2005;2008;4;3,2;,8;1;2;-1;-20,6;20,6
2001;20;12;0;Wayne Simien ;2005;1;4;29;3;University of Kansas;MIA;2006;2007;2;,9;,45;1;2;-1;-17;17
2001;7;4,2;0;Julius Hodge ;2005;1;4;20;3;North Carolina State University;DEN;2006;2007;2;0;0;1;2;-1;-15,8;15,8
2002;4;2,4;0;Rashad McCants ;2005;1;3;14;2;University of North Carolina;MIN;2006;2009;4;3,6;,9;1;2;-1;-11,6;11,6
2002;9;5,4;0;Sean May ;2005;1;3;13;2;University of North Carolina;NOP;2006;2010;5;2,6;,52;1;2;-1;-7,6;7,6
2002;18;10,8;0;Antoine Wright ;2005;1;3;15;3;Texas A&M University;BRK;2006;2011;6;3,1;,516666666666667;1;2;-1;-4,2;4,2
2003;4;2,4;0;Ndudi Ebi;2003;1;0;26;3; ;MIN;2004;2005;2;,1;,05;1;2;-1;-23,6;23,6
2003;41;24,6;2;Marcus Williams ;2006;1;3;22;3;University of Connecticut;BRK;2007;2010;4;0;0;1;2;-1;2,6;2,6
2004;13;7,8;0;D.J. White ;2008;1;4;29;3;Indiana University;DET;2009;2014;6;3,8;,633333333333333;1;2;-1;-21,2;21,2
2004;6;3,6;0;Sebastian Telfair;2004;1;0;13;2; ;POR;2005;2015;11;5;,454545454545455;1;2;-1;-9,4;9,4
2004;35;21;1;Shawne Williams ;2006;1;2;17;3;University of Memphis;IND;2007;2015;9;6,7;,744444444444444;1;2;-1;4;4
2004;34;20,4;1;Cedric Simmons ;2006;1;2;15;3;North Carolina State University;NOP;2007;2009;3;,1;,0333333333333333;1;2;-1;5,4;5,4
2005;6;3,6;0;Julian Wright ;2007;1;2;13;2;University of Kansas;NOP;2008;2011;4;3,9;,975;1;2;-1;-9,4;9,4
2005;27;16,2;1;Shawne Williams ;2006;1;1;17;3;University of Memphis;IND;2007;2015;9;6,7;,744444444444444;1;2;-1;-,800000000000001;,800000000000001
2006;15;9;0;Damion James ;2010;1;4;24;3;University of Texas at Austin;ATL;2011;2014;4;0;0;1;2;-1;-15;15
2006;13;7,8;0;Daequan Cook ;2007;1;1;21;3;Ohio State University;PHI;2008;2013;6;4,9;,816666666666667;1;2;-1;-13,2;13,2
2006;12;7,2;0;Javaris Crittenton ;2007;1;1;19;3;Georgia Institute of Technology;LAL;2008;2009;2;,1;,05;1;2;-1;-11,8;11,8
2006;24;14,4;1;Earl Clark ;2009;1;3;14;2;University of Louisville;PHO;2010;2015;6;2,9;,483333333333333;1;2;-1;,399999999999999;,399999999999999
2007;8;4,8;0;Donte Greene ;2008;1;1;28;3;Syracuse University;MEM;2009;2012;4;1,5;,375;1;2;-1;-23,2;23,2
2007;15;9;0;Anthony Randolph ;2008;1;1;14;2;Louisiana State University;GSW;2009;2014;6;5,8;,966666666666667;1;2;-1;-5;5
2007;28;16,8;1;James Anderson ;2010;1;3;20;3;Oklahoma State University;SAS;2011;2016;6;3,3;,55;1;2;-1;-3,2;3,2
2007;47;28,2;2;JaJuan Johnson ;2011;1;4;27;3;Purdue University;BRK;2012;2012;1;,2;,2;1;2;-1;1,2;1,2
2007;34;20,4;1;Austin Daye ;2009;1;2;15;3;Gonzaga University;DET;2010;2015;6;4,5;,75;1;2;-1;5,4;5,4
2008;8;4,8;0;Byron Mullens ;2009;1;1;24;3;Ohio State University;DAL;2010;2014;5;,6;,12;1;2;-1;-19,2;19,2
2008;16;9,6;0;Elliot Williams ;2010;1;2;22;3;University of Memphis;POR;2012;2016;5;,7;,14;1;2;-1;-12,4;12,4
2008;14;8,4;0;Chris Singleton ;2011;1;3;18;3;Florida State University;WAS;2012;2014;3;2,3;,766666666666667;1;2;-1;-9,6;9,6
2008;19;11,4;0;Luke Babbitt ;2010;1;2;16;3;University of Nevada, Reno;MIN;2011;2018;8;7,2;,9;1;2;-1;-4,6;4,6
2009;20;12;0;Daniel Orton ;2010;1;1;29;3;University of Kentucky;ORL;2012;2014;3;1;,333333333333333;1;2;-1;-17;17
2009;22;13,2;1;Jordan Hamilton ;2011;1;2;26;3;University of Texas at Austin;DAL;2012;2016;5;3;,6;1;2;-1;-12,8;12,8
2009;29;17,4;1;John Jenkins ;2012;1;3;23;3;Vanderbilt University;ATL;2013;2019;7;3;,428571428571429;1;2;-1;-5,6;5,6
2009;31;18,6;1;Royce White ;2012;1;3;16;3;Iowa State University;HOU;2014;2014;1;0;0;1;2;-1;2,6;2,6
2010;8;4,8;0;Perry Jones ;2012;1;2;28;3;Baylor University;OKC;2013;2015;3;1,7;,566666666666667;1;2;-1;-23,2;23,2
2010;14;8,4;0;Fab Melo ;2012;1;2;22;3;Syracuse University;BOS;2013;2013;1;0;0;1;2;-1;-13,6;13,6
2010;25;15;1;Kendall Marshall ;2012;1;2;13;2;University of North Carolina;PHO;2013;2016;4;1;,25;1;2;-1;2;2
2011;12;7,2;0;P.J. Hairston ;2014;1;3;26;3;University of North Carolina;MIA;2015;2016;2;,9;,45;1;2;-1;-18,8;18,8
2012;10;6;0;Archie Goodwin ;2013;1;1;29;3;University of Kentucky;OKC;2014;2017;4;1,1;,275;1;2;-1;-23;23
2012;26;15,6;1;Mitch McGary ;2014;1;2;21;3;University of Michigan;OKC;2015;2016;2;1,3;,65;1;2;-1;-5,4;5,4
2012;40;24;1;Brice Johnson ;2016;1;4;25;3;University of North Carolina;LAC;2017;2018;2;,1;,05;1;2;-1;-1;1
2012;59;35,4;2;Jordan Adams ;2014;1;2;22;3;University of California, Los Angeles;MEM;2015;2016;2;,4;,2;1;2;-1;13,4;13,4
2013;12;7,2;0;Jarell Martin ;2015;1;2;25;3;Louisiana State University;MEM;2016;2019;4;3,2;,8;1;2;-1;-17,8;17,8
2013;9;5,4;0;James Young ;2014;1;1;17;3;University of Kentucky;BOS;2015;2018;4;,8;,2;1;2;-1;-11,6;11,6
2013;23;13,8;1;Tyler Ennis ;2014;1;1;18;3;Syracuse University;PHO;2015;2018;4;1,3;,325;1;2;-1;-4,2;4,2
2014;19;11,4;0;Chris McCollough ;2015;1;1;29;3;Syracuse University;BRK;2016;2018;3;,6;,2;1;2;-1;-17,6;17,6
2014;24;14,4;1;Grayson Allen ;2018;1;4;21;3;Duke University;UTA;2019;2019;1;0;0;1;2;-1;-6,6;6,6
2015;9;5,4;0;Henry Ellenson ;2016;1;1;18;3;Marquette University;DET;2017;2019;3;,3;,1;1;2;-1;-12,6;12,6
2015;60;36;2;Aaron Holiday ;2018;1;3;23;3;University of California, Los Angeles;IND;2019;2019;1;,9;,9;1;2;-1;13;13
2015;72;43,2;3;Tyler Lydon ;2017;1;2;24;3;Syracuse University;UTA;2018;2019;2;,2;,1;1;2;-1;19,2;19,2
2015;63;37,8;3;Justin Patton ;2017;1;2;16;3;Creighton University;CHI;2018;2019;2;0;0;1;2;-1;21,8;21,8
2015;97;58,2;4;Moritz Wagner ;2018;1;3;25;3;University of Michigan;LAL;2019;2019;1;,2;,2;1;2;-1;33,2;33,2
2016;19;11,4;0;Tony Bradley ;2017;1;1;28;3;University of North Carolina;LAL;2018;2019;2;,1;,05;1;2;-1;-16,6;16,6
2017;17;10,2;0;Lonnie Walker ;2018;1;1;18;3;University of Miami;SAS;2019;2019;1;0;0;1;2;-1;-7,8;7,8
2017;12;7,2;0;Troy Brown ;2018;1;1;15;3;University of Oregon;WAS;2019;2019;1;,6;,6;1;2;-1;-7,8;7,8
2018;7;4,2;0;Anfernee Simons;2018;1;0;24;3; ;POR;2019;2019;1;,1;,1;1;2;-1;-19,8;19,8
2000;12;7,2;0;Omar Cook ;2001;1;1;32;4;St. John's University;ORL;2004;2005;2;-,1;-,05;0;1;-1;-24,8;24,8
2003;97;58,2;4;Patrick Ewing ;2008;1;5;43;4;Georgetown University;SAC;2011;2011;1;-,1;-,1;0;1;-1;15,2;15,2
2004;84;50,4;4;Walter Sharpe ;2008;1;4;32;4;University of Alabama at Birmingham;OKC;2009;2009;1;-,1;-,1;0;1;-1;18,4;18,4
2005;30;18;1;Marcus Williams ;2007;1;2;33;4;University of Arizona;SAS;2008;2009;2;-,1;-,05;0;1;-1;-15;15
2006;26;15,6;1;DaJuan Summers ;2009;1;3;35;4;Georgetown University;DET;2010;2013;4;-,1;-,025;0;1;-1;-19,4;19,4
2008;73;43,8;3;Tyshawn Taylor ;2012;1;4;41;4;University of Kansas;POR;2013;2014;2;-,9;-,45;0;1;-1;2,8;2,8
2009;32;19,2;1;Tyler Honeycutt ;2011;1;2;35;4;University of California, Los Angeles;SAC;2012;2013;2;-,1;-,05;0;1;-1;-15,8;15,8
2009;91;54,6;4;Glen Rice ;2013;1;4;35;4;Georgia Institute of Technology;PHI;2014;2015;2;-,2;-,1;0;1;-1;19,6;19,6
2010;54;32,4;2;Anthony Brown ;2015;1;5;34;4;Stanford University;LAL;2016;2018;3;-,2;-,0666666666666667;0;1;-1;-1,6;1,6
2011;5;3;0;Quincy Miller ;2012;1;1;38;4;Baylor University;DEN;2013;2015;3;-,1;-,0333333333333333;0;1;-1;-35;35
2011;23;13,8;1;Nick Johnson ;2014;1;3;42;4;University of Arizona;HOU;2015;2015;1;-,1;-,1;0;1;-1;-28,2;28,2
2012;13;7,8;0;Ricky Ledo;2013;1;1;43;4; ;MIL;2014;2015;2;-,6;-,3;0;1;-1;-35,2;35,2
2012;11;6,6;0;Grant Jerrett ;2013;1;1;40;4;University of Arizona;POR;2015;2015;1;-,1;-,1;0;1;-1;-33,4;33,4
2014;14;8,4;0;Isaiah Whitehead ;2016;1;2;42;4;Seton Hall University;UTA;2017;2018;2;-,9;-,45;0;1;-1;-33,6;33,6
2015;7;4,2;0;Diamond Stone ;2016;1;1;40;4;University of Maryland;NOP;2017;2017;1;-,1;-,1;0;1;-1;-35,8;35,8
2015;28;16,8;1;Jawun Evans ;2017;1;2;39;4;Oklahoma State University;PHI;2018;2019;2;-,4;-,2;0;1;-1;-22,2;22,2
2017;15;9;0;Gary Trent Jr. ;2018;1;1;37;4;Duke University;SAC;2019;2019;1;-,2;-,2;0;1;-1;-28;28
2007;5;3;0;Derrick Rose ;2008;1;1;1;1;University of Memphis;CHI;2009;2019;11;37,2;3,38181818181818;3;5;-2;2;2
2009;2;1,2;0;John Wall ;2010;1;1;1;1;University of Kentucky;WAS;2011;2019;9;44,3;4,92222222222222;3;5;-2;,2;,2
1998;5;3;0;Stromile Swift ;2000;1;2;2;1;Louisiana State University;MEM;2001;2009;9;21,3;2,36666666666667;2;4;-2;1;1
2000;3;1,8;0;Darius Miles;2000;1;0;3;1; ;LAC;2001;2009;9;9,5;1,05555555555556;2;4;-2;-1,2;1,2
2001;1;,6;0;Eddy Curry;2001;1;0;4;1; ;CHI;2002;2013;12;21,7;1,80833333333333;2;4;-2;-3,4;3,4
2004;2;1,2;0;Shaun Livingston;2004;1;0;4;1; ;LAC;2005;2019;15;29,9;1,99333333333333;2;4;-2;-2,8;2,8
2007;1;,6;0;O.J. Mayo ;2008;1;1;3;1;University of Southern California;MIN;2009;2016;8;21,8;2,725;2;4;-2;-2,4;2,4
2007;4;2,4;0;Michael Beasley ;2008;1;1;2;1;Kansas State University;MIA;2009;2019;11;15,6;1,41818181818182;2;4;-2;,4;,4
2007;52;31,2;2;Evan Turner ;2010;1;3;2;1;Ohio State University;PHI;2011;2019;9;20,5;2,27777777777778;2;4;-2;29,2;29,2
2008;3;1,8;0;Tyreke Evans ;2009;1;1;4;1;University of Memphis;SAC;2010;2019;10;28,4;2,84;2;4;-2;-2,2;2,2
2009;100;60;4;Derrick Williams ;2011;1;2;2;1;University of Arizona;MIN;2012;2018;7;14,1;2,01428571428571;2;4;-2;58;58
2010;31;18,6;1;Dion Waiters ;2012;1;2;4;1;Syracuse University;CLE;2013;2019;7;8,7;1,24285714285714;2;4;-2;14,6;14,6
2013;3;1,8;0;Jabari Parker ;2014;1;1;2;1;Duke University;MIL;2015;2019;5;11,6;2,32;2;4;-2;-,2;,2
2014;1;,6;0;Jahlil Okafor ;2015;1;1;3;1;Duke University;PHI;2016;2019;4;5,3;1,325;2;4;-2;-2,4;2,4
2014;16;9,6;0;D'Angelo Russell ;2015;1;1;2;1;Ohio State University;LAL;2016;2019;4;6,6;1,65;2;4;-2;7,6;7,6
2015;4;2,4;0;Brandon Ingram ;2016;1;1;2;1;Duke University;LAL;2017;2019;3;4,5;1,5;2;4;-2;,4;,4
2016;3;1,8;0;Lonzo Ball ;2017;1;1;2;1;University of California, Los Angeles;LAL;2018;2019;2;3,5;1,75;2;4;-2;-,2;,2
1998;75;45;3;Jerome Moiso ;2000;1;2;11;2;University of California, Los Angeles;BOS;2001;2005;5;2,1;,42;1;3;-2;34;34
1999;8;4,8;0;Jonathan Bender;1999;1;0;5;1; ;TOR;2000;2010;11;3,8;,345454545454545;1;3;-2;-,2;,2
1999;17;10,2;0;DerMarr Johnson ;2000;1;1;6;2;University of Cincinnati;ATL;2001;2008;8;6,4;,8;1;3;-2;4,2;4,2
1999;77;46,2;3;Rodney White ;2001;1;2;9;2;University of North Carolina at Charlotte;DET;2002;2005;4;1,8;,45;1;3;-2;37,2;37,2
2001;3;1,8;0;Dajuan Wagner ;2002;1;1;6;2;University of Memphis;CLE;2003;2007;5;0;0;1;3;-2;-4,2;4,2
2002;51;30,6;2;Ike Diogu ;2005;1;3;9;2;Arizona State University;GSW;2006;2012;7;6,5;,928571428571429;1;3;-2;21,6;21,6
2004;8;4,8;0;Robert Swift;2004;1;0;12;2; ;OKC;2005;2009;5;1,7;,34;1;3;-2;-7,2;7,2
2009;6;3,6;0;Xavier Henry ;2010;1;1;12;2;University of Kansas;MEM;2011;2015;5;,8;,16;1;3;-2;-8,4;8,4
2009;28;16,8;1;Thomas Robinson ;2012;1;3;5;1;University of Kansas;SAC;2013;2017;5;4,6;,92;1;3;-2;11,8;11,8
2011;25;15;1;Michael Carter-Williams ;2013;1;2;11;2;Syracuse University;PHI;2014;2019;6;5,2;,866666666666667;1;3;-2;4;4
2011;41;24,6;2;Ben McLemore ;2013;1;2;7;2;University of Kansas;SAC;2014;2019;6;4,6;,766666666666667;1;3;-2;17,6;17,6
2012;20;12;0;Kris Dunn ;2016;1;4;5;1;Providence College;MIN;2017;2019;3;1,6;,533333333333333;1;3;-2;7;7
2012;78;46,8;3;Nik Stauskas ;2014;1;2;8;2;University of Michigan;SAC;2015;2019;5;3,8;,76;1;3;-2;38,8;38,8
2014;3;1,8;0;Stanley Johnson ;2015;1;1;8;2;University of Arizona;DET;2016;2019;4;3,3;,825;1;3;-2;-6,2;6,2
2015;52;31,2;2;Marquese Chriss ;2016;1;1;8;2;University of Washington;SAC;2017;2019;3;2,3;,766666666666667;1;3;-2;23,2;23,2
2016;9;5,4;0;Malik Monk ;2017;1;1;11;2;University of Kentucky;CHO;2018;2019;2;,3;,15;1;3;-2;-5,6;5,6
1998;87;52,2;4;Chris Jefferies ;2002;1;4;27;3;California State University, Fresno;LAL;2003;2004;2;-,5;-,25;0;2;-2;25,2;25,2
1999;4;2,4;0;Joseph Forte ;2001;1;2;21;3;University of North Carolina;BOS;2002;2003;2;-,4;-,2;0;2;-2;-18,6;18,6
1999;39;23,4;1;Reece Gaines ;2003;1;4;15;3;University of Louisville;ORL;2004;2006;3;-,6;-,2;0;2;-2;8,4;8,4
2002;54;32,4;2;Maurice Ager ;2006;1;4;28;3;Michigan State University;DAL;2007;2011;5;-,9;-,18;0;2;-2;4,4;4,4
2007;18;10,8;0;Nolan Smith ;2011;1;4;21;3;Duke University;POR;2012;2013;2;-,8;-,4;0;2;-2;-10,2;10,2
2007;51;30,6;2;Craig Brackins ;2010;1;3;21;3;Iowa State University;OKC;2011;2012;2;-,2;-,1;0;2;-2;9,6;9,6
2010;27;16,2;1;Adreian Payne ;2014;1;4;15;3;Michigan State University;ATL;2015;2018;4;-,6;-,15;0;2;-2;1,2;1,2
2011;7;4,2;0;Marquis Teague ;2012;1;1;29;3;University of Kentucky;CHI;2013;2018;6;-,9;-,15;0;2;-2;-24,8;24,8
2011;18;10,8;0;Tony Wroten ;2012;1;1;25;3;University of Washington;MEM;2013;2016;4;-1,3;-,325;0;2;-2;-14,2;14,2
2014;10;6;0;Rashad Vaughn ;2015;1;1;17;3;University of Nevada, Las Vegas;MIL;2016;2018;3;-,6;-,2;0;2;-2;-11;11
2015;16;9,6;0;Caleb Swanigan ;2017;1;2;26;3;Purdue University;POR;2018;2019;2;-,2;-,1;0;2;-2;-16,4;16,4
2015;29;17,4;1;Malachi Richardson ;2016;1;1;22;3;Syracuse University;CHO;2017;2019;3;-,1;-,0333333333333333;0;2;-2;-4,6;4,6
2001;6;3,6;0;Kwame Brown;2001;1;0;1;1; ;WAS;2002;2013;12;20,8;1,73333333333333;2;5;-3;2,6;2,6
2006;1;,6;0;Greg Oden ;2007;1;1;1;1;Ohio State University;POR;2009;2014;6;7,3;1,21666666666667;2;5;-3;-,4;,4
2012;6;3,6;0;Anthony Bennett ;2013;1;1;1;1;University of Nevada, Las Vegas;CLE;2014;2017;4;,5;,125;1;5;-3;2,6;2,6
2013;1;,6;0;Andrew Wiggins ;2014;1;1;1;1;University of Kansas;CLE;2015;2019;5;13;2,6;2;5;-3;-,4;,4
2016;5;3;0;Markelle Fultz ;2017;1;1;1;1;University of Washington;PHI;2018;2019;2;,5;,25;1;5;-3;2;2
1999;3;1,8;0;Jay Williams ;2002;1;3;2;1;Duke University;CHI;2003;2003;1;,8;,8;1;4;-3;-,2;,2
2006;64;38,4;3;Hasheem Thabeet ;2009;1;3;2;1;University of Connecticut;MEM;2010;2014;5;4,8;,96;1;4;-3;36,4;36,4
2016;1;,6;0;Josh Jackson ;2017;1;1;4;1;University of Kansas;PHO;2018;2019;2;-2,4;-1,2;0;4;-3;-3,4;3,4
2005;44;26,4;2;Terrence Williams ;2009;1;4;11;2;University of Louisville;BRK;2010;2013;4;-,2;-,05;0;3;-3;15,4;15,4
2007;20;12;0;Jonny Flynn ;2009;1;2;6;2;Syracuse University;MIN;2010;2012;3;-1,1;-,366666666666667;0;3;-3;6;6
2014;2;1,2;0;Emmanuel Mudiay;2015;1;1;7;2; ;DEN;2016;2019;4;-1,2;-,3;0;3;-3;-5,8;5,8
2016;49;29,4;2;Dennis Smith ;2017;1;1;9;2;North Carolina State University;DAL;2018;2019;2;-,7;-,35;0;3;-3;20,4;20,4
2017;6;3,6;0;Collin Sexton ;2018;1;1;8;2;University of Alabama;CLE;2019;2019;1;-,6;-,6;0;3;-3;-4,4;4,4
2017;10;6;0;Kevin Knox ;2018;1;1;9;2;University of Kentucky;NYK;2019;2019;1;-1,3;-1,3;0;3;-3;-3;3
2018;4;2,4;0;Zion Williamson ;2019;1;1;1;1;Duke University;NOP; ; ; ; ; ; ;5; ;1,4;1,4
2016;74;44,4;3;De'Andre Hunter ;2019;1;3;4;1;University of Virginia;LAL; ; ; ; ; ; ;4; ;40,4;40,4
2018;1;,6;0;R.J. Barrett ;2019;1;1;3;1;Duke University;NYK; ; ; ; ; ; ;4; ;-2,4;2,4
2017;14;8,4;0;PJ Washington ;2019;1;2;12;2;University of Kentucky;CHO; ; ; ; ; ; ;3; ;-3,6;3,6
2018;2;1,2;0;Cam Reddish ;2019;1;1;10;2;Duke University;ATL; ; ; ; ; ; ;3; ;-8,8;8,8
2018;15;9;0;Darius Garland ;2019;1;1;5;1;Vanderbilt University;CLE; ; ; ; ; ; ;3; ;4;4
2018;27;16,2;1;Coby White ;2019;1;1;7;2;University of North Carolina;CHI; ; ; ; ; ; ;3; ;9,2;9,2
2016;46;27,6;2;Ty Jerome ;2019;1;3;24;3;University of Virginia;PHI; ; ; ; ; ; ;2; ;3,6;3,6
2017;2;1,2;0;Michael Porter Jr. ;2018;1;1;14;2;University of Missouri;DEN; ; ; ; ; ; ;2; ;-12,8;12,8
2017;33;19,8;1;Nickeil Alexander-Walker ;2019;1;2;17;3;Virginia Polytechnic Institute and State University;BRK; ; ; ; ; ; ;2; ;2,8;2,8
2017;48;28,8;2;Chuma Okeke ;2019;1;2;16;3;Auburn University;ORL; ; ; ; ; ; ;2; ;12,8;12,8
2017;100;60;4;Jordan Poole ;2019;1;2;28;3;University of Michigan;GSW; ; ; ; ; ; ;2; ;32;32
2018;3;1,8;0;Nassir Little ;2019;1;1;25;3;University of North Carolina;POR; ; ; ; ; ; ;2; ;-23,2;23,2
2018;12;7,2;0;Keldon Johnson ;2019;1;1;29;3;University of Kentucky;SAS; ; ; ; ; ; ;2; ;-21,8;21,8
2018;5;3;0;Romeo Langford ;2019;1;1;14;2;Indiana University;BOS; ; ; ; ; ; ;2; ;-11;11
2018;35;21;1;Tyler Herro ;2019;1;1;13;2;University of Kentucky;MIA; ; ; ; ; ; ;2; ;8;8
2011;33;19,8;1;DeAndre Daniels ;2014;1;3;37;4;University of Connecticut;TOR; ; ; ; ; ; ;1; ;-17,2;17,2
2014;70;42;3;Cody Martin ;2019;1;5;36;4;North Carolina State University;CHO; ; ; ; ; ; ;1; ;6;6
2016;92;55,2;4;Justin Jackson ;2018;1;2;43;4;University of Maryland;DEN; ; ; ; ; ; ;1; ;12,2;12,2
2016;93;55,8;4;Bruno Fernando ;2019;1;3;34;4;University of Maryland;PHI; ; ; ; ; ; ;1; ;21,8;21,8
2017;37;22,2;1;Daniel Gafford ;2019;1;2;38;4;University of Arkansas;CHI; ; ; ; ; ; ;1; ;-15,8;15,8
2017;41;24,6;2;Kezie Okpala ;2019;1;2;32;4;Stanford University;PHO; ; ; ; ; ; ;1; ;-7,4;7,4
2017;66;39,6;3;Jaylen Nowell ;2019;1;2;43;4;University of Washington;MIN; ; ; ; ; ; ;1; ;-3,4;3,4
2017;70;42;3;Bruno Fernando ;2019;1;2;34;4;University of Maryland;PHI; ; ; ; ; ; ;1; ;8;8
2018;6;3,6;0;Bol Bol ;2019;1;1;44;4;University of Oregon;MIA; ; ; ; ; ; ;1; ;-40,4;40,4
2018;28;16,8;1;Kevin Porter Jr ;2019;1;1;30;3;University of Southern California;MIL; ; ; ; ; ; ;1; ;-13,2;13,2
2007;57;34,2;2;Jon Diebler ;2011;1;4;51;4;Ohio State University;POR; ; ; ; ; ; ;0; ;-16,8;16,8
2008;75;45;3;Ater Majok ;2011;1;3;58;4;University of Connecticut;LAL; ; ; ; ; ; ;0; ;-13;13
2008;84;50,4;4;Latavious Williams;2010;1;2;48;4; ;MIA; ; ; ; ; ; ;0; ;2,4;2,4
2009;16;9,6;0;Alex Oriakhi ;2013;1;4;57;4;University of Missouri;PHO; ; ; ; ; ; ;0; ;-47,4;47,4
2009;79;47,4;3;Latavious Williams;2010;1;1;48;4; ;MIA; ; ; ; ; ; ;0; ;-,600000000000001;,600000000000001
2010;17;10,2;0;Deshaun Thomas ;2013;1;3;58;4;Ohio State University;SAS; ; ; ; ; ; ;0; ;-47,8;47,8
2011;35;21;1;Sir'Dominic Pointer ;2015;1;4;53;4;St. John's University;CLE; ; ; ; ; ; ;0; ;-32;32
2012;57;34,2;2;J.P. Tokoto ;2015;1;3;58;4;University of North Carolina;PHI; ; ; ; ; ; ;0; ;-23,8;23,8
2013;28;16,8;1;Nigel Williams-Goss ;2017;1;4;55;4;Gonzaga University;UTA; ; ; ; ; ; ;0; ;-38,2;38,2
2015;99;59,4;4;Quinndary Weatherspoon ;2019;1;4;49;4;Mississippi State University;SAS; ; ; ; ; ; ;0; ;10,4;10,4
2016;27;16,2;1;Dewan Hernandez ;2019;1;3;59;4;University of Miami;TOR; ; ; ; ; ; ;0; ;-42,8;42,8
2016;32;19,2;1;Kyle Guy ;2019;1;3;55;4;University of Virginia;NYK; ; ; ; ; ; ;0; ;-35,8;35,8
2016;43;25,8;2;Tony Carr ;2018;1;2;51;4;Pennsylvania State University;NOP; ; ; ; ; ; ;0; ;-25,2;25,2
2017;22;13,2;1;Jaylen Hands ;2019;1;2;56;4;University of California, Los Angeles;LAC; ; ; ; ; ; ;0; ;-42,8;42,8
2017;38;22,8;1;Tremont Waters ;2019;1;2;51;4;Louisiana State University;BOS; ; ; ; ; ; ;0; ;-28,2;28,2
2018;51;30,6;2;Talen Horton-Tucker ;2019;1;1;46;4;Iowa State University;ORL; ; ; ; ; ; ;0; ;-15,4;15,4
2018;74;44,4;3;Ignas Brazdeikis ;2019;1;1;47;4;University of Michigan;SAC; ; ; ; ; ; ;0; ;-2,6;2,6
1998;72;43,2;3;Udonis Haslem ; ;0;6; ;5;University of Florida; ;2004;2019;16;50,7;3,16875;3; ; ; ; 
1998;25;15;1;Adam Harrington ; ;0;6; ;5;Auburn University; ;2003;2003;1;0;0;1; ; ; ; 
1998;36;21,6;1;Doug Wrenn ; ;0;6; ;5;University of Washington; ; ; ; ; ; ; ; ; ; ; 
1998;37;22,2;1;Ronald Blackshear ; ;0;6; ;5;Marshall University; ; ; ; ; ; ; ; ; ; ; 
1998;99;59,4;4;Aaron Matthews ; ;0;6; ;5;Delaware State University; ; ; ; ; ; ; ; ; ; ; 
1998;85;51;4;Ajou Deng ; ;0;6; ;5;University of Connecticut; ; ; ; ; ; ; ; ; ; ; 
1998;23;13,8;1;Anthony Glover ; ;0;6; ;5;St. John's University; ; ; ; ; ; ; ; ; ; ; 
1998;32;19,2;1;Antonio Latimer; ;0;6; ;5; ; ; ; ; ; ; ; ; ; ; ; 
1998;76;45,6;3;Antwan Scott ; ;0;6; ;5;Wake Forest University; ; ; ; ; ; ; ; ; ; ; 
1998;35;21;1;B.B. Waldon ; ;0;6; ;5;University of South Florida; ; ; ; ; ; ; ; ; ; ; 
1998;64;38,4;3;Bobby Smith ; ;0;6; ;5;Villanova University; ; ; ; ; ; ; ; ; ; ; 
1998;50;30;2;Brandon Dean ; ;0;6; ;5;University of Arkansas; ; ; ; ; ; ; ; ; ; ; 
1998;100;60;4;Brian Brown ; ;0;6; ;5;Ohio State University; ; ; ; ; ; ; ; ; ; ; 
1998;57;34,2;2;Broderick Hicks ; ;0;6; ;5;Wake Forest University; ; ; ; ; ; ; ; ; ; ; 
1998;68;40,8;3;Cedric Taylor; ;0;6; ;5; ; ; ; ; ; ; ; ; ; ; ; 
1998;52;31,2;2;Chris Richardson ; ;0;6; ;5;University of Nevada, Las Vegas; ; ; ; ; ; ; ; ; ; ; 
1998;62;37,2;3;Clarence Gilbert ; ;0;6; ;5;University of Missouri; ; ; ; ; ; ; ; ; ; ; 
1998;18;10,8;0;Corey Hightower; ;0;6; ;5;Indian Hills Community College; ; ; ; ; ; ; ; ; ; ; 
1998;70;42;3;Craig Dawson ; ;0;6; ;5;Wake Forest University; ; ; ; ; ; ; ; ; ; ; 
1998;63;37,8;3;D.A. Layne ; ;0;6; ;5;University of Georgia; ; ; ; ; ; ; ; ; ; ; 
1998;90;54;4;Damon Hancock ; ;0;6; ;5;Southern Methodist University; ; ; ; ; ; ; ; ; ; ; 
1998;27;16,2;1;Dan Miller ; ;0;6; ;5;University of Notre Dame; ; ; ; ; ; ; ; ; ; ; 
1998;15;9;0;Dane Fife ; ;0;6; ;5;Indiana University; ; ; ; ; ; ; ; ; ; ; 
1998;89;53,4;4;David Graves ; ;0;6; ;5;University of Notre Dame; ; ; ; ; ; ; ; ; ; ; 
